Grouping,species,labelit,rank,abundance,proportion,plower,pupper,accumfreq,logabun,rankfreq
Blue_HP,Non_flagellated_green,TRUE,1,194571.4,46.1,28.3,63.9,46.1,5.3,2.6
Blue_HP,Desmodesmus_sp,TRUE,2,49428.6,11.7,2.7,20.7,57.8,4.7,5.1
Blue_HP,Crypto_sp1,TRUE,3,38714.3,9.2,-10,28.4,67,4.6,7.7
Blue_HP,Unknown_green,TRUE,4,30714.3,7.3,3.9,10.7,74.3,4.5,10.3
Blue_HP,Crypto_sp2,TRUE,5,24714.3,5.9,-6.4,18.1,80.2,4.4,12.8
Blue_HP,Didyomogenes_sp,TRUE,6,15714.3,3.7,0.5,7,83.9,4.2,15.4
Blue_HP,M_contortum,TRUE,7,6285.7,1.5,0.1,2.9,85.4,3.8,17.9
Blue_HP,Flagellated_greens,TRUE,8,5714.3,1.4,0.3,2.4,86.7,3.8,20.5
Blue_HP,Dinoflagellates,TRUE,9,5428.6,1.3,0.3,2.3,88,3.7,23.1
Blue_HP,Coccoid_cyano,TRUE,10,5428.6,1.3,-0.3,2.8,89.3,3.7,25.6
Blue_LP,Non_flagellated_green,TRUE,1,67428.6,23.5,15.5,31.6,23.5,4.8,2.5
Blue_LP,Aphanocapsa_sp,TRUE,2,53428.6,18.6,12,25.3,42.2,4.7,5
Blue_LP,Unknown_green,TRUE,3,52000,18.2,12.6,23.7,60.3,4.7,7.5
Blue_LP,Closterium_aciculare,TRUE,4,43071.4,15,7.8,22.2,75.4,4.6,10
Blue_LP,Golenkinia_sp,TRUE,5,10214.3,3.6,0.7,6.4,78.9,4,12.5
Blue_LP,M_contortum,TRUE,6,9071.4,3.2,2.1,4.2,82.1,4,15
Blue_LP,Pseudanabaena_sp,TRUE,7,7428.6,2.6,-2,7.2,84.7,3.9,17.5
Blue_LP,Coccoid_cyano,TRUE,8,5428.6,1.9,-0.6,4.4,86.6,3.7,20
Blue_LP,Flagellated_greens,TRUE,9,5285.7,1.8,-0.4,4.1,88.4,3.7,22.5
Blue_LP,Dinoflagellates,TRUE,10,4285.7,1.5,0.8,2.1,89.9,3.6,25
Broad_HP,Jaaginema_sp,TRUE,1,2062000,76.5,59.3,93.8,76.5,6.3,3.3
Broad_HP,Non_flagellated_green,TRUE,2,275047.6,10.2,-7.6,28,86.7,5.4,6.7
Broad_HP,Pseudanabaena_sp,TRUE,3,226095.2,8.4,3,13.8,95.1,5.4,10
Broad_HP,Anabaena_sp,TRUE,4,34428.6,1.3,-0.5,3,96.4,4.5,13.3
Broad_HP,Aphanocapsa_sp,TRUE,5,22333.3,0.8,0.5,1.1,97.2,4.3,16.7
Broad_HP,Flagellated_greens,TRUE,6,15619,0.6,-0.4,1.5,97.8,4.2,20
Broad_HP,Coccoid_cyano,TRUE,7,13285.7,0.5,0.1,0.8,98.3,4.1,23.3
Broad_HP,Merismopedia_sp,TRUE,8,10000,0.4,-0.1,0.8,98.7,4,26.7
Broad_HP,Golenkinia_sp,TRUE,9,9000,0.3,0.3,0.4,99,4,30
Broad_HP,Tetrastrum_sp,TRUE,10,6857.1,0.3,0.1,0.4,99.2,3.8,33.3
Broad_LP,Aphanocapsa_sp,TRUE,1,1036000,71.2,65.3,77.1,71.2,6,3.2
Broad_LP,Jaaginema_sp,TRUE,2,162285.7,11.1,0.8,21.5,82.3,5.2,6.5
Broad_LP,Filamentous_cyano,TRUE,3,99142.9,6.8,0,13.6,89.1,5,9.7
Broad_LP,Coccoid_cyano,TRUE,4,81142.9,5.6,0.9,10.3,94.7,4.9,12.9
Broad_LP,Aphanizomenon_sp,TRUE,5,21142.9,1.5,-0.1,3,96.2,4.3,16.1
Broad_LP,Non_flagellated_green,TRUE,6,19000,1.3,0.3,2.3,97.5,4.3,19.4
Broad_LP,Pseudanabaena_sp,TRUE,7,11857.1,0.8,-0.1,1.7,98.3,4.1,22.6
Broad_LP,Golenkinia_sp,TRUE,8,3857.1,0.3,-0.1,0.6,98.5,3.6,25.8
Broad_LP,Closterium_aciculare,TRUE,9,3714.3,0.3,0,0.5,98.8,3.6,29
Broad_LP,Flagellated_greens,TRUE,10,3000,0.2,0,0.4,99,3.5,32.3
Green_HP,Aphanocapsa_sp,TRUE,1,1237571.4,70.1,35.6,104.5,70.1,6.1,2.4
Green_HP,Non_flagellated_green,TRUE,2,147357.1,8.3,-0.3,17,78.4,5.2,4.9
Green_HP,Jaaginema_sp,TRUE,3,114285.7,6.5,-4.7,17.7,84.9,5.1,7.3
Green_HP,Anabaena_sp,TRUE,4,65857.1,3.7,-3.5,11,88.6,4.8,9.8
Green_HP,Desmodesmus_sp,TRUE,5,56857.1,3.2,1.5,5,91.8,4.8,12.2
Green_HP,Dictyosphaerium_sp,TRUE,6,21285.7,1.2,-0.7,3.1,93,4.3,14.6
Green_HP,M_contortum,TRUE,7,20000,1.1,0.5,1.7,94.2,4.3,17.1
Green_HP,Selenastrum_sp,TRUE,8,12714.3,0.7,-0.4,1.8,94.9,4.1,19.5
Green_HP,Scenedesmus_sp,TRUE,9,12428.6,0.7,0.1,1.3,95.6,4.1,22
Green_HP,Flagellated_greens,TRUE,10,11857.1,0.7,-0.2,1.6,96.2,4.1,24.4
Green_LP,Aphanocapsa_sp,TRUE,1,311428.6,47.7,18.2,77.1,47.7,5.5,1.7
Green_LP,Non_flagellated_green,TRUE,2,96714.3,14.8,-1.7,31.3,62.4,5,3.4
Green_LP,Mougeotia_sp,TRUE,3,37142.9,5.7,-0.1,11.4,68.1,4.6,5.1
Green_LP,Anabaena_sp,TRUE,4,18000,2.8,-1.9,7.4,70.9,4.3,6.8
Green_LP,Jaaginema_sp,TRUE,5,16714.3,2.6,0.8,4.3,73.4,4.2,8.5
Green_LP,Pseudanabaena_sp,TRUE,6,16142.9,2.5,0,5,75.9,4.2,10.2
Green_LP,M_contortum,TRUE,7,11428.6,1.7,0.4,3.1,77.7,4.1,11.9
Green_LP,Flagellated_greens,TRUE,8,10571.4,1.6,-0.4,3.6,79.3,4,13.6
Green_LP,Golenkinia_sp,TRUE,9,9571.4,1.5,0.2,2.8,80.7,4,15.3
Green_LP,Dinoflagellates,TRUE,10,9571.4,1.5,-0.3,3.2,82.2,4,16.9
Red_HP,Pseudanabaena_sp,TRUE,1,336571.4,31.7,24.7,38.6,31.7,5.5,2.6
Red_HP,Aphanocapsa_sp,TRUE,2,132285.7,12.4,1.7,23.2,44.1,5.1,5.3
Red_HP,Non_flagellated_green,TRUE,3,126857.1,11.9,8.9,15,56,5.1,7.9
Red_HP,Desmodesmus_sp,TRUE,4,101428.6,9.5,5.4,13.7,65.6,5,10.5
Red_HP,Unknown_green,TRUE,5,94857.1,8.9,3.5,14.4,74.5,5,13.2
Red_HP,Merismopedia_sp,TRUE,6,91285.7,8.6,-6.9,24.1,83.1,5,15.8
Red_HP,Jaaginema_sp,TRUE,7,35571.4,3.3,-0.3,7,86.4,4.6,18.4
Red_HP,Didyomogenes_sp,TRUE,8,32428.6,3.1,2,4.1,89.5,4.5,21.1
Red_HP,Flagellated_greens,TRUE,9,19714.3,1.9,-0.4,4.1,91.3,4.3,23.7
Red_HP,M_contortum,TRUE,10,15428.6,1.5,1.1,1.8,92.8,4.2,26.3
Red_LP,Aphanocapsa_sp,TRUE,1,640000,46.5,32.3,60.6,46.5,5.8,2.8
Red_LP,Jaaginema_sp,TRUE,2,517428.6,37.6,23.8,51.3,84,5.7,5.6
Red_LP,Unknown_green,TRUE,3,86428.6,6.3,3.1,9.5,90.3,4.9,8.3
Red_LP,Pseudanabaena_sp,TRUE,4,60714.3,4.4,-0.9,9.7,94.7,4.8,11.1
Red_LP,Aphanizomenon_sp,TRUE,5,11285.7,0.8,-0.5,2.2,95.5,4.1,13.9
Red_LP,Non_flagellated_green,TRUE,6,10857.1,0.8,0,1.6,96.3,4,16.7
Red_LP,Crypto_sp2,TRUE,7,7142.9,0.5,-0.3,1.4,96.8,3.9,19.4
Red_LP,Golenkinia_sp,TRUE,8,5428.6,0.4,0,0.8,97.2,3.7,22.2
Red_LP,Closterium_aciculare,TRUE,9,4571.4,0.3,0,0.7,97.6,3.7,25
Red_LP,Cyanodictyon_sp,TRUE,10,3142.9,0.2,-0.2,0.7,97.8,3.5,27.8